Native-encode CT1 26.877142
Native-encode CT2 20.582278
Native-encode MG1 1611.147766
Native-encode MR1 31.405596
Native-encode MR2 83.212485
Native-encode MR3 16.441628
Native-encode MR4 17.366610
Native-encode NM1 13.110844
Native-encode RG1 506.564413
Native-encode RG2 240.553668
Native-encode RG3 133.107786
Native-encode SC1 405.787132
Native-encode US1 28.279682
Native-encode VL1 47.712317
Native-encode VL2 51.071906
Native-encode VL3 52.042798
Native-encode VL4 862.790971
Native-encode VL5 2223.642731
Native-encode VL6 88.913994
Native-encode XA1 60.612106
Native-decode CT1 22.652206
Native-decode CT2 16.965721
Native-decode MG1 1390.668189
Native-decode MR1 27.518300
Native-decode MR2 76.909001
Native-decode MR3 14.940336
Native-decode MR4 15.591681
Native-decode NM1 11.646046
Native-decode RG1 451.791347
Native-decode RG2 207.007746
Native-decode RG3 110.395196
Native-decode SC1 344.605554
Native-decode US1 24.769020
Native-decode VL1 41.822410
Native-decode VL2 44.009120
Native-decode VL3 44.395657
Native-decode VL4 743.454547
Native-decode VL5 1924.408892
Native-decode VL6 78.658742
Native-decode XA1 53.372454
WASM-encode   CT1 39.670032
WASM-encode   CT2 30.598668999999997
WASM-encode   MG1 2425.132176
WASM-encode   MR1 48.584244
WASM-encode   MR2 127.12995
WASM-encode   MR3 25.920886
WASM-encode   MR4 26.95206
WASM-encode   NM1 20.250023
WASM-encode   RG1 781.6580319999999
WASM-encode   RG2 362.305111
WASM-encode   RG3 188.90103
WASM-encode   SC1 600.0685100000001
WASM-encode   XA1 94.52527199999999
WASM-decode   CT1 35.299118
WASM-decode   CT2 26.929288999999997
WASM-decode   MG1 2176.302355
WASM-decode   MR1 42.152452
WASM-decode   MR2 112.207892
WASM-decode   MR3 23.359535
WASM-decode   MR4 23.952247
WASM-decode   NM1 18.935508
WASM-decode   RG1 700.435957
WASM-decode   RG2 320.443384
WASM-decode   RG3 173.204104
WASM-decode   SC1 533.260463
WASM-decode   XA1 84.33897999999999
